InstanceType,status,lifetime,Vender
m6g.8xlarge,1,1316,AWS
m6g.8xlarge,1,65,AWS
m6g.8xlarge,1,646,AWS
m6g.8xlarge,1,1409,AWS
m6g.8xlarge,1,940,AWS
m6g.8xlarge,1,707,AWS
m6g.8xlarge,1,119,AWS
m6g.8xlarge,1,1687,AWS
m6i.4xlarge,1,4117,AWS
m6i.4xlarge,1,80562,AWS
m6i.4xlarge,1,54994,AWS
r3.2xlarge,1,18362,AWS
r3.2xlarge,1,6113,AWS
r3.2xlarge,1,64,AWS
r3.2xlarge,1,96,AWS
r3.2xlarge,1,808,AWS
r3.2xlarge,1,783,AWS
r3.2xlarge,1,1762,AWS
r3.2xlarge,1,958,AWS
r3.2xlarge,1,11046,AWS
r3.2xlarge,1,1978,AWS
r3.2xlarge,1,3420,AWS
r3.2xlarge,1,18959,AWS
r3.2xlarge,1,2341,AWS
r3.2xlarge,1,4860,AWS
r3.2xlarge,1,63004,AWS
r3.2xlarge,1,10482,AWS
r3.2xlarge,1,360,AWS
r3.4xlarge,1,240,AWS
r3.4xlarge,1,1234,AWS
r3.4xlarge,1,2841,AWS
r3.4xlarge,1,14812,AWS
r3.4xlarge,1,463,AWS
r3.4xlarge,1,709,AWS
r3.4xlarge,1,2337,AWS
r3.4xlarge,1,2043,AWS
r3.4xlarge,1,6971,AWS
r3.4xlarge,1,3959,AWS
r3.4xlarge,1,33831,AWS
r3.4xlarge,1,1804,AWS
r3.4xlarge,1,2204,AWS
r3.4xlarge,1,180,AWS
r3.4xlarge,1,662,AWS
r3.4xlarge,1,864,AWS
r3.8xlarge,1,39976,AWS
r3.xlarge,1,18023,AWS
r3.xlarge,1,474,AWS
r3.xlarge,1,1734,AWS
r3.xlarge,1,282,AWS
r3.xlarge,1,980,AWS
r3.xlarge,1,772,AWS
r3.xlarge,1,336,AWS
r3.xlarge,1,1586,AWS
r3.xlarge,1,750,AWS
r3.xlarge,1,1757,AWS
r3.xlarge,1,415,AWS
r3.xlarge,1,1625,AWS
r3.xlarge,1,441,AWS
r3.xlarge,1,1767,AWS
r3.xlarge,1,426,AWS
r3.xlarge,1,1800,AWS
r3.xlarge,1,330,AWS
r3.xlarge,1,1971,AWS
r3.xlarge,1,3104,AWS
r3.xlarge,1,447,AWS
r3.xlarge,1,1756,AWS
r3.xlarge,1,6828,AWS
r3.xlarge,1,441,AWS
r3.xlarge,1,2224,AWS
